mpath,checkpoint,words_seen,n_params,n_layers,n_heads,sample,layer,head,ps,ar_acc,ar_mean_rank
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,8,0.01220543123781681,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,9,0.007986792363226414,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,10,0.012343713082373142,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,10,11,0.013472447171807289,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,0,0.009703757241368294,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,1,0.0118868388235569,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,2,0.012723680585622787,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,3,0.008254452608525753,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,4,0.010970810428261757,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,5,0.014167927205562592,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,6,0.016533784568309784,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,7,0.017329134047031403,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,8,0.013617312535643578,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,9,0.01362313237041235,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,10,0.016178807243704796,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,0,11,11,0.008880176581442356,0.0,7744.259765625
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,0,0.013919112272560596,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,1,0.013822806067764759,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,2,0.01413450762629509,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,3,0.013465085066854954,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,4,0.013878097757697105,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,5,0.01456508506089449,0.0,9411.7802734375
BabyLM-community/babylm-baseline-10m-gpt2,chck_9M,9000000,98425344,12,12,1,0,6,0.014128361828625202,0.0,9411.7802734375
